Country or Region,CodeNum,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Taiwan,158.0,23.69781,120.960515,25,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2019
Palestinian Territories,275.0,31.952162,35.233154,110,4.696,0.657,1.247,0.672,0.225,0.103,0.066,2019
Iran,364.0,32.427908,53.688046,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2019
Syria,760.0,34.802075,38.996815,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141,2019
South Korea,410.0,35.907757,127.766922,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056,2019
United States,840.0,37.09024,-95.712891,19,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019
Kosovo,-1.0,42.602636,20.902977,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2019
Moldova,498.0,47.411631,28.369885,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0,2019
Czech Republic,203.0,49.817492,15.472962,20,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019
United Kingdom,826.0,55.378051,-3.435973,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019
Russia,643.0,61.52401,105.318756,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2019
North Cyprus,196.0,40.448761,-111.80763200000001,64,5.718,1.263,1.252,1.042,0.417,0.191,0.162,2019
North Macedonia,807.0,41.99646,21.43141,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019
Ivory Coast,384.0,5.30966,-4.0126599999999994,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09,2019
Congo (Brazzaville),180.0,-4.26613,15.28318,103,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2019
Congo (Kinshasa),180.0,-4.32153,15.31185,127,4.418,0.094,1.125,0.357,0.269,0.212,0.053,2019
